icao24,manufacturername,model,typecode,owner,operatorcallsign,operatoriata
4077c8,Airbus Helicopters Deutschland,MBB BK-117D2 (H145),EC45,Uk Hems - United Kingdom,,
40787b,Boeing Charleston (chs),Boeing 787-9,B789,Tui Airways Limited - United Kingdom,TOMSON,
48ae26,Boeing Everett Wa (pae),Boeing 787-9,B789,Lot - Polish Airlines - Poland,POLLOT,
48ae80,Boeing,Boeing 737-89P (W),B738,Lot - Polish Airlines - Poland,POLLOT,
343315,Airbus,Airbus A340-642,A346,Iberia Airlines,IBERIA,IB
3c65c4,Airbus,A320 271NSL,A20N,Lufthansa,LUFTHANSA,LH
3c65cd,Airbus Industrie,A-320neo,A20N,Lufthansa,LUFTHANSA,LH
48adad,Embraer,ERJ-195AR (190-200IGW),E195,Lot - Polish Airlines - Poland,POLLOT,
3c65cb,Airbus Industrie,A320-271N,A20N,Lufthansa,LUFTHANSA,LH
3c656b,Airbus,Airbus A330-343E,A333,Lufthansa,LUFTHANSA,LH
400ceb,Airbus Sas,AIRBUS A321-231,A321,British Airways,SPEEDBIRD,BA
3420ce,Airbus,A319 111,A319,Iberia Airlines,IBERIA,IB
ae0424,Boeing,KC-135R,K35R,United States Air Force,AIR CHIEF,
a5d57d,Boeing,757-24APF,B752,United Parcel Service,UPS,5X
ac733b,Boeing,737-900ER,B739,Delta Air Lines,DELTA,DL
ae11f8,Boeing,C-40B,B737,United States Air Force,AIR CHIEF,
a52c5c,Boeing,757-24APF,B752,United Parcel Service,UPS,5X
a7e310,Boeing,747-8F,B748,United Parcel Service,UPS,5X
ab774b,Boeing,737-823,B738,American Airlines,AMERICAN,AA
abaa6e,Bombardier Inc,CL-600-2B19,CRJ2,Delta Air Lines,DELTA,DL
a77e8f,Bombardier Inc,CL-600-2D24,CRJ9,American Airlines,AMERICAN,AA
a76a3a,Boeing,747-44AF,B744,United Parcel Service,UPS,5X
ae1235,Boeing,C-17A Globemaster III,C17,United States Air Force,AIR CHIEF,
ad03ae,Boeing,737-9GPER,B739,Delta Air Lines,DELTA,DL
ac2a33,Boeing,737-823,B738,American Airlines,AMERICAN,AA
a0f427,Boeing,787-10,B78X,United Airlines,UNITED,UA
ab2760,Boeing,737-932ER,B739,Delta Air Lines,DELTA,DL
a43e60,Boeing,737-8,B38M,United Airlines,UNITED,UA
ae1242,Boeing,C-17A Globemaster III,C17,United States Air Force,AIR CHIEF,
ace5bb,Boeing,717-200,B712,Delta Air Lines,DELTA,DL
ae0149,Boeing,KC-135R,K35R,United States Air Force,AIR CHIEF,
a7cd0c,Bombardier Inc,CL-600-2B19,CRJ2,Delta Connection,DELTA,DL
ae0381,Boeing,KC-135R,K35R,United States Air Force,AIR CHIEF,
ac3e53,Bombardier Inc,CL-600-2B19,CRJ2,Delta Air Lines,DELTA,DL
a68336,Airbus Sas,A350-941,A359,Delta Air Lines,DELTA,DL
ab9d96,Embraer,EMB-135KL,E135,American Airlines,AMERICAN,AA
a3183d,Bombardier Inc,CL-600-2D24,CRJ9,Delta Air Lines,DELTA,DL
a7e9e7,Bombardier Inc,CL-600-2D24,CRJ9,American Airlines,AMERICAN,AA
a0267b,Airbus,A321-211,A321,Delta Air Lines,DELTA,DL
ae4d69,Boeing,C-17A Globemaster III,C17,United States Air Force,AIR CHIEF,
a32ffe,Boeing,767-34AF,B763,United Parcel Service,UPS,5X
a4493a,Boeing,737-9,,United Airlines,UNITED,UA
